Molecular_Name,SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3
Aromatic_21,Ic1ccc(Br)cc1,8.0,8.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,282.906,70.28850000000001,0.0,2.9657754671888616,0.0104832540020558,0.0,3.053700000000001,46.85900000000001,0.0,4.024925784090914,0.0634968862534547,-0.0508384140537358,-4.192248400277284e-18,1.0,1.0,0.0,3.0324555320336755,147.38833891467198,0.4299999999999999,1.742777784416771
Aromatic_22,C(=O)Oc1ccc(C(=O)O)cc1,12.0,12.0,12.0,3.0,1.0,0.0,4.0,1.0,3.0,0.0,166.132,60.13995000000002,76.32000000000001,2.7914611550268007,0.016802669794044,63.60000000000001,0.92,40.09330000000001,0.0,2.762423268352845,0.3351828676961653,-0.4776392250079467,-2.0431187605949066e-17,1.0,1.0,0.0,2.846340723505505,288.4310994682657,-1.84,1.820194512708767
Aromatic_23,Nc1ccc(C(=O)N)cc1,10.0,10.0,10.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,136.15400000000002,59.05845000000001,82.932,2.406745287734126,0.0176766402019587,69.11,0.3677,39.3723,0.0,2.305410956342218,0.2481976944691896,-0.3987282195121219,-7.709882115452477e-19,1.0,1.0,0.0,3.003400684579817,240.2879489264805,-1.5099999999999998,1.2539046385226678
Aromatic_24,OCc1ccccc1,8.0,8.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,108.13999999999996,48.54719999999999,24.276,2.0057200364951,0.0185474386716077,20.23,1.1789,32.364799999999995,0.1428571428571428,2.2275228596598184,0.2105281973634617,-0.3916804684282009,2.8189256484623123e-18,1.0,1.0,0.0,2.8320858350070908,145.73281445033504,-0.8200000000000001,1.073981896801325
Aromatic_25,CCCc1ccc(N)cc1,10.0,10.0,10.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,135.20999999999998,67.27410000000003,31.224,2.4427868393456142,0.0180666135735448,26.02,2.2213000000000003,44.84940000000002,0.3333333333333333,2.0098373369567573,0.1562157479704761,-0.3987285623675141,6.033820786006285e-19,1.0,1.0,0.0,2.693803452362809,188.3881691811921,-0.98,1.7608451250134962
Aromatic_26,C(=O)Oc1ccc(O)cc1,10.0,10.0,10.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,138.122,52.198200000000014,55.836,2.392162881283144,0.0173192023281153,46.53,0.9274,34.79880000000001,0.0,2.6461065200312164,0.297995997833905,-0.5079622286222062,-1.431146867680866e-17,1.0,1.0,0.0,2.7828495900077543,214.79775799182192,-1.5099999999999998,1.4816626331899465
Aromatic_27,NCc1ccc(Cl)cc1,9.0,9.0,9.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,141.601,59.01510000000002,31.224,2.460020811630881,0.0173729055180258,26.02,1.7987,39.34340000000001,0.1428571428571428,2.399402824033123,0.1187130067589916,-0.3264974925502791,-1.0204255741040042e-18,1.0,1.0,0.0,2.881555877646136,180.61256853719752,-0.53,1.6989023562471834
Aromatic_28,CCCc1ccc(CCC)cc1,12.0,12.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,162.27599999999998,81.64800000000005,0.0,2.880548743767498,0.0177509226627263,0.0,3.5916000000000023,54.43200000000004,0.5,1.98750732427607,0.0625704419725542,-0.0650654381344574,2.3129646346357432e-19,1.0,1.0,0.0,2.583598665629921,182.984848999515,-0.78,2.68933715061274
Aromatic_29,Clc1ccc(C)cc1,8.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,126.58599999999996,54.28350000000001,0.0,2.2149022565670253,0.0174972132705813,0.0,2.6484200000000007,36.18900000000001,0.1428571428571428,2.3319424441691767,0.0638501283985642,-0.0843441355646558,1.8503717077085946e-18,1.0,1.0,0.0,3.0324555320336755,143.24662946459569,-0.49,1.2392064029119825
Aromatic_30,Clc1ccc(Cl)cc1,8.0,8.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,147.00400000000002,54.69300000000001,0.0,2.434805986439029,0.0165628552275868,0.0,2.993400000000001,36.46200000000001,0.0,2.687802777543693,0.0638933221124194,-0.0843426977817943,-1.1564823173178714e-17,1.0,1.0,0.0,3.0324555320336755,145.38833891467198,-0.2,1.391420241566014
