SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg
NCc1ccc([N+](=O)[O-])cc1,11,11,11,2,1,0,4,1,3,0,152.153,61.4817,82.992,2.61860954,0.017210371,69.16,1.0535,40.9878,0.142857143,2.474768875,0.268943477,-0.326497437,-4.02e-18,1,1,0,2.913801563,255.6480131,-1.42,1.747527534,439.7854755952379
c1ccc2c(c1)Cc3ccccc23,13,13,15,0,2,1,0,0,0,0,166.223,82.026,0.0,2.549939283,0.015340472,0.0,3.2578,54.684,0.076923077,2.026467193,0.062934454,-0.061939245,-3.45e-18,3,2,0,2.320727985,411.6004191,-1.56,0.919445958,359.6265410984847
Clc1ccc(CC)cc1,9,9,9,1,1,0,1,0,0,0,140.613,61.245,0.0,2.468306715,0.017553901,0.0,2.9024,40.83,0.25,2.295909833,0.063850301,-0.084344133,1.35e-18,1,1,0,2.881555878,176.264053,-0.49,1.721046036,214.89519333333325
CCc1ccccc1,8,8,8,1,1,0,0,0,0,0,106.168,53.73,0.0,2.020420837,0.019030412,0.0,2.249,35.82,0.25,1.975953807,0.062560165,-0.062248742,-9.64e-19,1,1,0,2.832085835,141.3842989,-0.78,1.093537203,201.82211126984126
OCc1ccc(CCC)cc1,11,11,11,3,1,0,1,1,1,0,150.221,69.5397,24.276,2.853140176,0.018992951,20.23,2.1314,46.3598,0.4,2.160219239,0.210528197,-0.391680466,5e-18,1,1,0,2.664537067,200.6176914,-0.82,2.353634969,348.2935988095239
C(=O)Oc1ccccc1,9,9,9,2,1,0,2,0,2,0,122.123,49.701,31.56,2.13766707,0.017504213,26.3,1.2218,33.134,0.0,2.45715373,0.297995964,-0.428764618,-6.01e-18,1,1,0,2.719528533,181.367456,-1.31,1.567199372,359.10036458333326
OCc1ccc(Br)cc1,9,9,9,1,1,0,2,1,1,0,187.036,60.0972,24.276,2.576721842,0.013776609,20.23,1.9414,40.0648,0.142857143,3.112224811,0.210528197,-0.391680458,3.25e-18,1,1,0,2.881555878,180.6125685,-0.34,1.804947321,352.1733866666666
C(=O)Oc1ccc(I)cc1,10,10,10,2,1,0,3,0,2,0,248.019,68.7765,31.56,2.789671904,0.011247815,26.3,1.8264,45.851,0.0,3.606159028,0.297995973,-0.428763327,-1.35e-17,1,1,0,2.78284959,217.5526455,-0.58,1.982580224,369.34339226190474
Oc1ccc(C)cc1,8,8,8,0,1,0,1,1,1,0,108.14,49.2657,24.276,2.018474501,0.018665383,20.23,1.70062,32.8438,0.142857143,2.195036259,0.29309207,-0.507966648,-3.9e-18,1,1,0,3.032455532,143.2466295,-0.98,0.997109257,292.2740565476187
NCc1ccc(N)cc1,9,9,9,1,1,0,2,2,2,0,122.171,58.1187,62.448,2.258363472,0.018485266,52.04,0.7275,38.7458,0.142857143,2.10209447,0.156215748,-0.398728552,-2.92e-18,1,1,0,2.881555878,178.6125685,-1.02,1.435851175,409.1819833333333
CCCc1ccc(CC)cc1,11,11,11,3,1,0,0,0,0,0,148.249,74.7225,0.0,2.696754948,0.018190712,0.0,3.2015,49.815,0.454545455,1.983994085,0.062570441,-0.065065438,-1.67e-18,1,1,0,2.664537067,195.7832245,-0.78,2.3768738,280.38787276515154
