SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg_K
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,45,23,46,13,0,2,11,8,11,0,342.2969999999996,289.3040000000001,162.03917075393227,3.540599479074737,0.3778515178602648,189.53,-5.395599999999993,68.64140000000003,1.0,1.1831741006000591,0.2186223367332793,-0.393566515090804,4.9343245538895856e-18,2,0,0,3.2100543573705083,1108.20914151474,-0.4399999999999999,3.3583338121229525,442.0
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,45,23,46,13,0,2,11,8,11,0,342.2969999999996,289.3040000000001,162.03917075393227,3.540599479074737,0.3778515178602648,189.53,-5.395599999999993,68.64140000000003,1.0,1.1831741006000591,0.2186223367332793,-0.393566515090804,4.9343245538895856e-18,2,0,0,3.2100543573705083,1108.20914151474,-0.4399999999999999,3.3583338121229525,435.0
C1C2C(C(C(C(O1)O2)O)O)O,21,11,22,3,0,2,5,3,5,0,162.14100000000008,135.96000000000004,77.47180678441576,1.9739311290152597,0.0904987429724001,79.15,-2.1758,32.63339999999999,1.0,1.19256398940865,0.2108489277328884,-0.3874974356784806,6.608470384673551e-18,2,0,0,2.8303642714703243,459.2192338293996,-0.2,0.969419875130073,456.0
C1C2C(C(C(C(O1)O2)O)O)O,21,11,22,3,0,2,5,3,5,0,162.14100000000008,135.96000000000004,77.47180678441576,1.9739311290152597,0.0904987429724001,79.15,-2.1758,32.63339999999999,1.0,1.19256398940865,0.2108489277328884,-0.3874974356784806,6.608470384673551e-18,2,0,0,2.8303642714703243,459.2192338293996,-0.2,0.969419875130073,456.0
C(C(C(C(C=O)O)O)O)O,20,10,19,8,0,0,5,4,5,0,150.13000000000008,134.36000000000004,71.93386262843092,2.177062539260025,0.1912653212354494,97.99,-2.7397,31.170199999999983,0.8,1.1173712414409054,0.2112112673547015,-0.3935788916964168,9.020562075079397e-18,0,0,0,6.266628763842783,367.94747320502313,-0.4899999999999999,2.402432901243281,383.15
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(CO)O)O)O)O)O)O,47,23,47,17,0,1,11,9,11,0,344.3129999999996,300.26400000000007,165.6223016886135,3.375629116684386,0.1663912611385456,200.53,-5.7611999999999925,70.83220000000003,1.0,1.1467009032051778,0.2108489299265236,-0.3935791334160054,9.743978673571853e-18,1,0,0,4.704788541362087,1110.2098238014664,-0.4399999999999999,4.775681769970198,423.65
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)O)CO)CO)CO)CO)CO)CO)O)O)O)O,150,78,156,42,0,7,36,23,36,0,1153.002000000003,963.1360000000002,542.5558158764928,9.72817851730456,0.8221387822262016,585.2800000000002,-16.27620000000003,231.7863999999996,1.0,1.197133115157156,0.2134634098215541,-0.3935665150908041,2.590520390792032e-18,7,0,0,1.564803198256211,4687.704197419122,-1.4400000000000006,12.942098480162288,435.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)O)CO)CO)CO)CO)CO)O)O)O)O,129,67,134,36,0,6,31,20,31,0,990.8610000000028,827.2880000000002,466.4524868519813,8.872657197752856,0.8473840477047192,506.13000000000017,-14.100400000000024,199.1529999999997,1.0,1.1977219541441462,0.2134634098215541,-0.3935665150908041,3.2273925134452225e-18,6,0,0,1.750891453507581,3994.084171434528,-1.2400000000000004,11.222780072959784,479.15
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)O)CO)CO)CO)CO)CO)O)O)O)O,129,67,134,36,0,6,31,20,31,0,990.8610000000028,827.2880000000002,466.4524868519813,8.872657197752856,0.8473840477047192,506.13000000000017,-14.100400000000024,199.1529999999997,1.0,1.1977219541441462,0.2134634098215541,-0.3935665150908041,3.2273925134452225e-18,6,0,0,1.750891453507581,3994.084171434528,-1.2400000000000004,11.222780072959784,479.15
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)O)CO)CO)CO)CO)O)O)O)O,108,56,112,30,0,5,26,17,26,0,828.7200000000024,693.7840000000002,390.3491578274693,7.332615619455246,0.7689929270114553,426.9800000000001,-11.92460000000002,166.5196,1.0,1.1944928104424464,0.2134634098215541,-0.3935665150908041,4.1119371282413195e-18,5,0,0,1.9854406151383983,3280.525051549879,-1.0400000000000005,9.156810533788228,441.15
